Mass,Radius,Predicted Values
1.989e+30,695700000.0,37581904945.06312
4.1769e+30,1189647000.0,39279443854.447044
2.9835e+31,49394700000.0,59186945609.94942
2.1879e+30,834840000.0,37736226664.09802
2.1879e+30,18088200000.0,37736226664.09802
4.3758e+30,1878390000.0,39433765573.48194
5.1714e+30,8348400000.0,40051052449.62155
4.574699999999999e+31,54890730000.000015,71532683132.7416
2.9835e+30,1321830000.0,38353513540.237625
3.978e+31,660915000000.0,66903031561.69453
1.33263e+31,6470010000.000001,46378242930.052536
2.08845e+31,5983020000.0,52242468253.37882
3.5802e+30,1252260000.0,38816478697.34234
3.5802e+31,6191730000.0,63816597180.99649
2.9835e+30,30610800000.0,38353513540.237625
2.3868e+31,473076000000.0,54557294038.90236
2.2734269999999998e+31,5196879000.0,53677660240.40341
3.7790999999999997e+30,6122160000.000001,38970800416.377235
3.7790999999999997e+30,1252260000.0,38970800416.377235
3.7791e+31,141227100000.0,65359814371.345505
3.1824e+31,5843880000.0,60730162800.29844
7.558199999999998e+30,2156670000.0,41902913078.040375
2.48625e+31,9739800000.0,55328902634.076866
2.88405e+31,6122160000.000001,58415337014.7749
5.5692e+30,1669680000.0,40359695887.69136
2.9835e+30,58438800000.0,38353513540.237625
1.7105399999999998e+31,4035060000.0,49310355591.71568
9.945e+30,2921940000.0,43754773706.459206
6.9615e+30,4730760000.0,41439947920.93567
6.3648e+31,29219400000.0,85421637845.88278
1.7900999999999998e+31,4174200000.0,49927642467.855286
7.956e+30,2365380000.0,42211556516.11018
5.7681e+30,2921940000.0,40514017606.72626
6.5637e+31,13914000000.0,86964855036.23181
8.453249999999998e+30,20871000000.0,42597360813.69743
1.69065e+31,47307600000.0,49156033872.68078
3.3813e+31,139140000000.0,62273379990.64746
1.13373e+31,18088200000.0,44835025739.70352
6.9615e+30,4730760000.0,41439947920.93567
1.7900999999999998e+31,90441000000.0,49927642467.855286
1.2132899999999998e+31,2365380000.0,45452312615.843124
4.75371e+30,1927089000.0,39726976839.648254
1.3923e+31,64004400000.0,46841208087.15725
5.5692e+30,2295810000.0,40359695887.69136
1.17351e+31,3339360000.0,45143669177.77332
4.7736e+30,2017530000.0,39742409011.55175
2.68515e+31,6957000000.0,56872119824.42589
1.07406e+31,27132300000.0,44372060582.598816
5.967e+30,34785000000.0,40668339325.76116
4.1769e+30,66091500000.0,39279443854.447044
2.9835e+31,97398000000.0,59186945609.94942
5.5692e+30,194796000000.0,40359695887.69136
1.557387e+30,621260100.0,37247026814.75738
1.9710989999999998e+30,848754000.0,37568015990.349976
1.6309799999999994e+30,514818000.0,37304125850.80029
3.978e+31,337414500000.0,66903031561.69453
1.989e+32,612911700000.0,190360406789.61627
8.950499999999999e+30,30958650000.0,42983165111.28469
3.81888e+31,676220400000.0,65668457809.41531
2.52603e+30,1029636000.0,37998573586.45735
4.3758e+31,556560000000.0,69989465942.39258
5.967e+31,52873200000.0,82335203465.18475
3.61998e+31,521775000000.0,64125240619.066284
1.3923e+30,462640500.0,37118939787.95841
1.5912e+30,207318600000.0,37273261506.99332
3.16251e+30,2601918000.0,38492403087.36904
1.6906499999999995e+30,59134500000.0,37350422366.510765
1.51164e+30,653958000.0,37211532819.37935
2.3868e+30,257409000000.0,37890548383.13292
2.76471e+31,805620600000.0,57489406700.56549
1.1934e+30,354807000.0,36964618068.92351
9.945e+29,313065000000.0,36810296349.8886
3.978e+30,973980000.0,39125122135.41214
1.5912e+30,2365380000.0,37273261506.99332
3.3813e+31,987894000000.0,62273379990.64746
1.989e+32,222624000000.0,190360406789.61627
4.7736e+31,264366000000.0,73075900323.0906
1.3923e+31,525253500000.0,46841208087.15725
2.7846e+29,139140000.0,36254738161.36296
7.956e+28,13914000.0,36100416442.32806
2.3868e+29,104355000.0,36223873817.55598
2.84427e+30,1099206000.0,38245488336.91319
5.7681e+32,22262400000.0,483571672955.93036
3.75921e+32,14679270000.000004,327706736730.6792
3.7791e+31,271323000.0,65359814371.345505
1.1432771999999998e+32,10066779000.0,124742811855.97585
2.00889e+30,688743000.0,37597337116.966606
3.1824e+29,146097000.0,36285602505.16994
9.945e+31,1321830000000.0,113199547272.16518
1.49175e+29,69570000.0,36154429043.99027
3.978e+31,1113120000000.0,66903031561.69453
1.7702099999999997e+29,83484000.0,36176034084.65516
1.3923e+29,59830199.99999999,36146712958.03853
5.967e+27,59830199.99999999,36043317406.28514
6.5637e+31,139140000.0,86964855036.23181
9.113642553599999e+28,70777296.90900001,36109398312.05654
3.6074835108e+28,116532317.13299999,36066677350.32881
1.49995367028e+29,77926518.81899999,36155065547.00687
5.885894149200001e+28,102948795.504,36084354989.66442
1.02528478728e+29,70062374.71800001,36118237131.72434
5.5061590428e+28,102233873.313,36081408716.44182
7.974437234399999e+28,67202685.954,36100559492.38873
7.974437234399999e+28,67202685.954,36100559492.38873
4.3669537236e+28,115817394.942,36072569896.77402
2.2784106383999997e+28,92939884.83,36056365394.049706
7.594702128e+28,67202685.954,36097613219.16613
5.5061590428e+28,102233873.313,36081408716.44182
9.8731127664e+28,70062374.71800001,36115290858.50174
9.8731127664e+28,70062374.71800001,36115290858.50174
3.797351064e+28,115817394.942,36068150486.94012
3.797351064e+28,115102472.751,36068150486.94012
8.9237750004e+28,69347452.527,36107925175.44524
8.9237750004e+28,69347452.527,36107925175.44524
2.848013298e+28,109383095.223,36060784803.883606
3.797351064e+28,115817394.942,36068150486.94012
5.1264239364e+28,100804028.931,36078462443.21922
6.265629255599999e+28,70777296.90900001,36087301262.887024
1.48096691496e+29,77211596.628,36153592410.39557
1.5189404256e+29,90795118.25700001,36156538683.618164
1.2341390958e+29,135835216.29,36134441634.448654
1.2341390958e+29,135835216.29,36134441634.448654
1.5189404256e+29,69347452.527,36156538683.618164
9.3035101068e+28,69347452.527,36110871448.66784
1.67083446816e+29,82216051.965,36168323776.508575
4.3669537236e+28,118677083.706,36072569896.77402
8.544039894e+28,67917608.145,36104978902.22263
3.4176159576e+28,92939884.83,36065204213.717514
1.02528478728e+29,70062374.71800001,36118237131.72434
1.3860331383599998e+29,74351907.864,36146226727.33906
1.3860331383599998e+29,102233873.313,36146226727.33906
1.40501989368e+29,75066830.055,36147699863.95036
1.0442715426e+29,270240588.198,36119710268.33565
1.93664904264e+29,90795118.25700001,36188947689.06679
3.797351064e+28,94369729.21200001,36068150486.94012
